release_year,metascore,userscore,metascore_count,platforms,userscore_count
2013,88.0,61.0,10,1,8
2005,88.0,73.0,48,3,15
2022,88.0,74.0,34,4,260
2021,88.0,85.0,127,2,3960
2012,88.0,84.0,43,4,6727
2016,88.0,65.0,47,3,364
2005,88.0,78.0,75,1,95
2008,88.0,88.0,59,2,324
2009,88.0,80.0,35,3,119
2010,88.0,83.0,75,4,759
2012,88.0,84.0,67,4,2197
2016,88.0,75.0,104,3,1928
2018,88.0,77.0,7,1,457
2015,88.0,82.0,39,3,710
2024,88.0,72.0,10,1,13
2004,88.0,63.0,29,3,9
2016,88.0,81.0,62,3,2108
2022,88.0,80.0,127,2,11598
2001,88.0,78.0,25,2,114
2002,88.0,88.0,36,1,126
2025,88.0,0.0,5,1,2
2007,88.0,88.0,41,3,334
2016,88.0,79.0,36,1,436
2003,88.0,0.0,25,2,3
2002,88.0,86.0,43,1,644
2002,88.0,30.0,18,4,9
1998,88.0,87.0,12,1,76
2010,88.0,82.0,24,3,59
2013,88.0,78.0,16,3,146
2001,88.0,87.0,17,1,121
2003,88.0,84.0,25,1,212
2013,88.0,75.0,69,1,1774
2010,88.0,77.0,49,2,76
2015,88.0,86.0,73,2,1607
2005,88.0,85.0,39,1,45
1998,88.0,82.0,13,1,86
2023,88.0,85.0,46,3,235
2021,88.0,68.0,109,3,2025
2025,88.0,78.0,7,2,19
2025,88.0,84.0,27,2,285
2012,88.0,51.0,10,1,197
2012,88.0,82.0,82,2,1812
2014,88.0,57.0,42,2,2705
2024,88.0,75.0,8,2,79
2021,88.0,88.0,124,1,3378
2019,88.0,74.0,10,1,39
2006,88.0,89.0,39,2,921
2002,88.0,73.0,11,3,49
2002,88.0,73.0,15,5,36
2005,88.0,80.0,65,2,494
2019,88.0,83.0,98,1,1338
2004,88.0,89.0,64,1,441
2001,88.0,87.0,16,1,13
2024,88.0,82.0,8,1,43
2006,88.0,85.0,54,2,187
2013,88.0,76.0,22,1,337
2021,88.0,84.0,122,4,1217
2023,88.0,84.0,9,1,1104
2013,88.0,80.0,47,1,2571
2003,88.0,89.0,31,1,318
2016,88.0,73.0,84,5,2267
2016,88.0,72.0,21,1,263
2004,88.0,82.0,9,1,1569
2016,88.0,75.0,54,3,4039
2004,88.0,89.0,32,2,8
2012,88.0,43.0,86,3,10566
2015,88.0,83.0,62,1,1319
2023,88.0,89.0,40,3,568
2024,88.0,87.0,106,1,917
2006,88.0,79.0,7,1,14
2010,88.0,76.0,66,7,223
2004,88.0,87.0,26,1,121
2012,88.0,87.0,71,1,420
2004,88.0,83.0,50,5,266
2017,88.0,85.0,38,3,471
2016,88.0,74.0,62,1,1343
2005,88.0,80.0,65,2,61
2018,88.0,72.0,61,1,514
2010,88.0,74.0,10,3,16
2011,88.0,75.0,38,1,26
2020,88.0,85.0,61,4,6202
2022,88.0,74.0,6,1,27
2009,88.0,72.0,9,1,233
2001,88.0,87.0,14,1,377
2003,88.0,82.0,15,3,21
2017,88.0,80.0,12,2,208
2016,88.0,75.0,47,4,330
2018,88.0,79.0,71,2,843
2010,88.0,81.0,32,3,136
2017,88.0,77.0,30,4,588
2003,88.0,87.0,49,1,40
2017,88.0,80.0,47,2,171
2017,88.0,81.0,100,1,2717
2010,88.0,75.0,73,5,480
2001,88.0,80.0,18,1,66
2000,88.0,88.0,34,1,1967
2024,88.0,77.0,8,2,75
2005,88.0,81.0,58,1,50
2012,88.0,72.0,41,5,168
2015,88.0,83.0,31,2,297
2024,88.0,79.0,20,1,244
1998,88.0,79.0,13,1,60
1998,88.0,84.0,13,1,156
2018,87.0,86.0,39,3,2211
2009,87.0,87.0,41,6,1827
2013,88.0,88.0,70,1,1048
2020,88.0,75.0,17,4,764
2014,87.0,77.0,30,5,487
2009,87.0,77.0,33,3,122
2013,87.0,80.0,30,5,65
2019,87.0,80.0,64,3,1679
2012,87.0,71.0,87,2,4218
2015,87.0,91.0,61,1,2098
2021,87.0,79.0,57,5,1216
2017,87.0,75.0,21,2,477
2004,87.0,77.0,83,2,1251
2024,87.0,87.0,68,4,1854
2021,87.0,84.0,73,2,5242
2017,87.0,79.0,90,4,1050
2016,87.0,73.0,82,4,924
2021,87.0,81.0,36,1,173
2001,87.0,82.0,11,1,79
2018,87.0,88.0,8,1,905
2003,87.0,83.0,42,1,68
2010,87.0,85.0,65,1,276
2013,87.0,75.0,71,1,1875
2011,87.0,81.0,56,1,1081
2004,87.0,78.0,69,1,26
2020,87.0,82.0,126,1,9230
2008,87.0,74.0,51,7,89
2001,87.0,81.0,29,6,146
2000,87.0,82.0,19,1,45
2001,87.0,83.0,21,1,37
2023,87.0,80.0,48,4,1192
2007,87.0,82.0,45,1,111
2018,87.0,65.0,36,2,425
2009,87.0,63.0,22,1,29
2025,87.0,80.0,31,1,64
2019,87.0,90.0,92,1,3617
2021,87.0,79.0,53,3,242
2021,87.0,70.0,6,1,13
2015,87.0,78.0,45,5,300
2024,87.0,81.0,14,1,66
2024,87.0,81.0,42,4,382
2008,87.0,82.0,52,1,162
2020,87.0,65.0,12,2,262
2024,87.0,78.0,9,1,223
2000,87.0,88.0,18,1,297
2010,87.0,84.0,107,3,2779
2000,87.0,78.0,26,1,46
2001,87.0,90.0,21,1,1155
2023,87.0,90.0,119,1,990
2011,87.0,86.0,49,1,165
2024,87.0,79.0,4,1,40
2023,87.0,84.0,146,3,9860
2020,87.0,69.0,19,3,114
2006,87.0,85.0,61,1,1839
2025,87.0,83.0,58,4,170
2006,87.0,78.0,58,2,86
2016,87.0,75.0,87,1,1619
2022,87.0,26.0,120,2,12112
2002,87.0,84.0,34,2,309
2002,87.0,82.0,34,2,93
2013,87.0,86.0,36,5,574
2025,87.0,75.0,80,1,259
2022,87.0,84.0,79,2,1550
2024,87.0,80.0,8,1,16
2010,87.0,85.0,19,2,220
2011,87.0,73.0,81,3,253
2003,87.0,83.0,47,1,532
2015,87.0,81.0,89,3,6539
2010,87.0,91.0,49,1,1416
2002,87.0,79.0,27,1,138
2019,87.0,83.0,111,1,2275
2021,87.0,75.0,17,3,97
2018,87.0,79.0,74,4,1006
2001,87.0,86.0,35,1,74
2014,87.0,82.0,7,1,428
2003,87.0,82.0,44,1,211
2016,87.0,75.0,84,1,1218
2004,87.0,90.0,55,1,791
2018,87.0,87.0,116,1,11286
2009,87.0,82.0,80,1,1193
2005,87.0,63.0,38,2,9
2022,87.0,68.0,42,3,151
2010,87.0,83.0,49,2,418
2006,87.0,82.0,51,1,102
2002,87.0,77.0,32,2,12
2003,87.0,87.0,58,1,619
2001,87.0,77.0,12,1,19
2006,87.0,88.0,69,1,1002
2010,87.0,86.0,77,2,708
2012,87.0,72.0,14,2,140
2010,87.0,72.0,89,5,2669
2015,87.0,78.0,85,1,960
2000,87.0,83.0,29,1,299
2016,87.0,80.0,40,1,660
2006,87.0,77.0,54,1,179
2014,87.0,71.0,31,4,491
2007,87.0,77.0,59,1,78
2001,87.0,81.0,21,1,42
2021,87.0,81.0,67,4,1920
2002,87.0,80.0,32,1,31
2002,87.0,70.0,18,3,7
2002,87.0,86.0,42,1,194
2023,87.0,88.0,42,2,81
2009,87.0,79.0,76,2,52
2013,87.0,89.0,82,1,480
2013,87.0,80.0,36,2,111
2025,87.0,81.0,16,3,47
2017,87.0,60.0,7,2,13
2010,87.0,91.0,59,1,1385
2009,87.0,78.0,75,1,458
2009,87.0,83.0,50,2,67
2015,87.0,72.0,54,3,804
2004,87.0,87.0,19,3,14
2001,87.0,80.0,7,1,49
2014,87.0,67.0,75,1,1866
2000,87.0,74.0,12,1,25
2022,87.0,82.0,14,1,140
